HANDEL,OSSOFF,precinct,county,voters_17,ballots_17,turnout_17
737,568,Addison 01,Cobb,2184,1305,59.75
805,679,Bells Ferry 02,Cobb,2708,1484,54.8
1419,1056,Bells Ferry 03,Cobb,5249,2478,47.21
689,632,Blackwell 01,Cobb,2369,1322,55.8
153,616,Chattahoochee 01,Cobb,2528,770,30.46
1287,732,Chestnut Ridge 01,Cobb,2866,2020,70.48
1053,719,Dickerson 01,Cobb,2626,1772,67.48
822,488,Dodgen 01,Cobb,1927,1311,68.03
634,449,Davis 01,Cobb,1829,1083,59.21
1090,762,Eastside 01,Cobb,2781,1855,66.7
1470,1020,Eastside 02,Cobb,3725,2492,66.9
711,515,Elizabeth 02,Cobb,2171,1227,56.52
926,603,Elizabeth 03,Cobb,2479,1530,61.72
538,728,Elizabeth 04,Cobb,2531,1267,50.06
876,749,Elizabeth 05,Cobb,2667,1625,60.93
132,54,East Piedmont 01,Cobb,310,186,60
1148,856,Fullers Park 01,Cobb,3105,2007,64.64
973,693,Garrison Mill 01,Cobb,2510,1667,66.41
1139,822,Gritters 01,Cobb,3564,1961,55.02
1531,987,Hightower 01,Cobb,3848,2519,65.46
603,428,Kell 01,Cobb,1811,1031,56.93
1311,727,Lassiter 01,Cobb,3328,2039,61.27
724,345,Mabry 01,Cobb,1573,1069,67.96
1462,929,Murdock 01,Cobb,3635,2391,65.78
649,400,McCleskey 01,Cobb,1607,1050,65.34
31,155,Marietta 5A,Cobb,838,186,22.2
80,183,Marietta 6A,Cobb,766,263,34.33
704,768,Marietta 6B,Cobb,2492,1473,59.11
82,132,Marietta 7A,Cobb,581,214,36.83
1523,1010,Mount Bethel 01,Cobb,3778,2534,67.07
1031,813,Mount Bethel 03,Cobb,2876,1844,64.12
1113,712,Mount Bethel 04,Cobb,2765,1826,66.04
719,483,Nicholson 01,Cobb,2211,1203,54.41
28,33,Powers Ferry 01,Cobb,142,61,42.96
1393,715,Post Oak 01,Cobb,3334,2108,63.23
1070,733,Pope 01,Cobb,2836,1803,63.58
411,193,Palmer 01,Cobb,1212,604,49.83
1118,722,Rocky Mount 01,Cobb,3007,1842,61.26
2042,1373,Roswell 01,Cobb,5010,3416,68.18
1357,941,Roswell 02,Cobb,3402,2298,67.55
838,707,Sandy Plains 01,Cobb,2593,1545,59.58
1269,821,Shallowford Falls 01,Cobb,3080,2090,67.86
634,463,Simpson 01,Cobb,1772,1097,61.91
1070,878,Sewell Mill 01,Cobb,3054,1949,63.82
973,971,Sewell Mill 03,Cobb,4129,1946,47.13
866,527,Sope Creek 01,Cobb,2011,1394,69.32
1305,1000,Sope Creek 02,Cobb,4062,2306,56.77
1057,613,Sope Creek 03,Cobb,2716,1671,61.52
933,658,Timber Ridge 01,Cobb,2299,1591,69.2
1096,672,Willeo 01,Cobb,2673,1768,66.14